SUB_TYPE,APPLICANT_ORGANIZATION,IN_DATE,ISSUE_DATE
Advertising Sound Amplification,"El Leon Cantina, Inc.",2/28/2011,3/22/2011
Private Sound Amplification,Fresa's Dos,2/22/2023,3/6/2023
Outdoor Music Venue,Shangri-La,1/29/2014,2/27/2014
Advertising Sound Amplification,Bird's Barbershop,11/1/2013,11/1/2013
Concrete Pouring,Baker Concrete Construction,3/29/2022,3/29/2022
Advertising Sound Amplification,Texas Coffee Traders,3/3/2016,3/4/2016
Outdoor Music Venue,Six Colorado Venture Ltd,5/30/2012,6/27/2012
Outdoor Music Venue,Michael Terrazas,4/10/2012,5/2/2012
Advertising Sound Amplification,C3 Presents,3/11/2014,3/14/2014
Concrete Pouring,Rogers Obrien Const Co,8/19/2019,8/19/2019
Outdoor Music Venue,"Heartfelt Hospitality, LLC. (Irene's)",9/28/2018,1/9/2019
Concrete Pouring,,1/31/2018,1/31/2018
Outdoor Music Venue,The Aquarium on east 6th,4/21/2023,7/24/2023
Advertising Sound Amplification,Rally Marketing Group,2/11/2013,2/14/2013
Concrete Pouring,JE Dunn Construction,1/8/2024,1/8/2024
Concrete Pouring,Baker Concrete Construction,4/7/2022,4/7/2022
Private Sound Amplification,Cover 3 Anderson Lane LLC,11/8/2018,11/8/2018
Outdoor Music Venue,"Guero's Restaurant, Inc.",9/15/2023,10/18/2023
Private Sound Amplification,,11/13/2017,11/13/2017
Advertising Sound Amplification,Jasac Family Clothing,2/1/2010,2/1/2010
Concrete Pouring,DPR Construction,10/10/2022,10/10/2022
Concrete Pouring,Capform Inc,6/5/2018,6/5/2018
Public Sound Amplification,Hahn Public Communications,11/26/2013,11/26/2013
Advertising Sound Amplification,Hotel Vegas,11/13/2013,11/19/2013
Concrete Pouring,Beck Commercial Construction LLC,1/15/2016,1/15/2016
Concrete Pouring,Largo Concrete,12/26/2013,12/26/2013
Advertising Sound Amplification,The Original Hoffbrau Steakhouse,2/3/2016,3/9/2016
Advertising Sound Amplification,Haymaker,6/11/2014,6/11/2014
Advertising Sound Amplification,AOL,3/11/2011,3/11/2011
Outdoor Music Venue,Allan-Thrasher LLC,6/17/2016,7/7/2016
